treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingConstitution",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingIntelligence",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingWisdom",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingCharisma",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSavingDeath",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_DamageImmunity"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPoisonImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAcidImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofColdImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofFireImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofForceImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLightningImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofNecroticImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPsychicImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofRadiantImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofThunderImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofChasmImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBludgeoningImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPiercingImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSlashingImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofShadowCurseImmunity",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Resistance"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAcidResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofColdResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofFireResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofForceResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofLightningResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofNecroticResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPoisonResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPsychicResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofRadiantResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofThunderResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofBludgeoningResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofPiercingResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSlashingResistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofFallResistance",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Damage"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMoreMeleeSpellDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMoreRangedSpellDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMoreRangedWeaponDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMoreMeleeWeaponDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMoreUnarmedStrikeDamage",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_DamagePlus1"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMeleeSpellDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofRangedSpellDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofRangedWeaponDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofMeleeWeaponDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedStrikeDamage",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Damage_Elemental"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedAcidDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedColdDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedFireDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedForceDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedLightningDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedNecroticDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedPoisonDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedPsychicDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedRadiantDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmedThunderDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedAcidDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedColdDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedFireDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnamredForceDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedLightningDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedNecroticDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedPoisonDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedPsychicDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedRadiantDamage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofUnarmedThunderDamage",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Advantage"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinAthletics",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinAcrobatics",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinSleightOfHand",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinStealth",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_of_AdvantageinArcana",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinHistory",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinInvestigation",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinNature",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinReligion",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinAnimalHandling",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinInsight",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinMedicine",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinPerception",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinSurvival",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinDeception",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinIntimidation",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinPerformance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinPersuasion",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofAdvantageinAttack",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_StatusImmunity"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityFrightened",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityParalyzed",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityProne",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunitySurface",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityCharmed",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityDifficultTerrain",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityProneIce",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityBlinded",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityDisarm",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityShadowCursedVines",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunitySpikeGrowth",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofImmunityEnsnaredVines",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Reaction"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_Counterspell",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_DeflectMissiles",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_GiantKiller",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_GithyankiParry",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_MistyEscape",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_Riposte",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_ShieldMaster",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterrupt_WardingFlare",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofInterruptHellishRebuke",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_Spells"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_AlltheRage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_BlackTentacles",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSpell_Boo",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_ConjureWoodlandBeings",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_DeadZone_Container",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_DimensionDoor",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_HeroesFeast",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_PartyBath",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_Reflectoguard",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofspell_ResilientSphere",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSpell_CursedDruid",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_PlusOne"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSpellSave1",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmor1",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_PlusTwo"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSpellSaveTwo",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmorTwo",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_Ringsof_PlusThree"
CanMerge 1
new subtable "-1"
object category "I_Granny_Loot_Ring_ofSpellSaveThree",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_Loot_Ring_ofArmorThree",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Ring_Pouch"
CanMerge 1
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Proficiency",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_SavingThrows",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_DamageImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Resistance",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Damage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_DamagePlus1",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Damage_Elemental",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Advantage",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_StatusImmunity",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Reaction",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_Spells",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusOne",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusTwo",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_CONT_Pouch_Ringsof_PlusThree",1,0,0,0,0,0,0,0
new treasuretable "Granny_CONT_Pouch_U3_Update"
CanMerge 1
new subtable "-1"
object category "I_GR_U3_Adored_Will_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Brave_Aura_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Broken_Resolve_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Crystal_Spirit_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Defiant_Twin_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Devoted_Glamour_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Exotic_Riddle_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Faint_Beauty_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Flawless_Blossom_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Grand_Prospect_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Happy_Lily_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Idle_Mark_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Lustrous_Wish_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Perfect_Flower_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Pristine_Whisper_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Pure_Stone_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Quiet_Glamour_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Royal_Crux_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Serpent_Root_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Serpentine_Hum_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Shadow_Panther_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Stunning_Shield_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Velvet_Ambition_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_U3_Worthy_Lure_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Rewards_Vengeful_Nettie",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Rewards_Regen_Aura_v2",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Set_01_Bag"
CanMerge 1
new subtable "-1"
object category "I_gr_hb_fire_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_fireandice_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_galaxy_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_ice_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_lightning_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_money_pink_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_mud_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_pink_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_poison_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_psychic_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_rainbow_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_rat_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_snake_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_static_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_thunder_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_water_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_gr_hb_wind_ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_Granny_PooToss_Ring",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_Action_Surge_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_Longstrider_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_Murderous_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_RareBrandedSpell_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_SpiderJunkie_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_WeaponBond_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GRI_Hexblade_Ring_Jan13",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Wildheart_Ring_Jan13",1,0,0,0,0,0,0,0
new treasuretable "GR_HB_Bag_Diety_Rings"
CanMerge 1
new subtable "-1"
object category "I_GR_Diety_Bahamut",1,0,0,0,0,0,0,0
new subtable "-1"
object category "I_GR_Diety_Bane",1,0,0,0,0,0,0,0
new subtable "-1"
